OrderID,ShipmentDate,EstimatedDelivery,ActualDelivery,DestinationCountry,ShippingCost,LogisticProvider
1,2022-09-11 11:10:56,13,4,Martinique,72.64919733582715,DHL
2,2021-09-22 12:33:42,13,13,Dominica,97.25043359927152,DHL
3,2022-05-23 02:14:46,8,8,Bosnia and Herzegovina,89.44109993077905,Local Courier
4,2022-12-18 09:15:06,12,10,Poland,52.922308421966854,UPS
5,2023-02-09 18:43:02,7,3,Pakistan,80.5079085825625,FedEx
6,2023-05-21 10:01:18,9,3,Panama,52.447923872818286,DHL
7,2021-06-13 13:33:56,13,6,Rwanda,87.80735554447804,DHL
8,2023-08-04 03:40:10,6,12,Latvia,76.76609306549807,DHL
9,2023-01-11 00:49:48,14,19,Heard Island and McDonald Islands,36.25926078801652,DHL
10,2023-01-28 22:01:26,6,7,Antarctica (the territory South of 60 deg S),17.826403137485826,UPS
11,2021-05-10 18:52:33,9,17,Suriname,14.16849643933171,FedEx
12,2021-09-16 15:08:41,13,7,India,84.6082230908231,DHL
13,2021-03-07 12:38:35,11,8,Guinea-Bissau,67.02740297187749,DHL
14,2022-11-28 12:44:24,3,3,Poland,57.84524178536734,UPS
15,2023-07-15 17:55:30,11,13,Bosnia and Herzegovina,94.60722063172246,UPS
16,2021-02-01 20:44:44,4,10,Kiribati,80.66741461565505,FedEx
17,2021-02-17 18:42:40,4,11,Liechtenstein,53.199357560445485,FedEx
18,2023-02-03 15:23:40,5,7,Liechtenstein,36.35016915883337,FedEx
19,2022-02-14 09:57:27,5,19,Nigeria,22.50566336503805,FedEx
20,2022-04-22 16:18:32,5,14,South Africa,16.891885791533472,FedEx
21,2023-02-24 10:42:22,5,13,Saint Vincent and the Grenadines,23.728814359181616,UPS
22,2022-03-02 23:55:57,3,3,Micronesia,24.375926063184288,UPS
23,2021-10-26 17:02:11,11,11,China,85.29237466663136,Local Courier
24,2021-05-09 16:30:36,7,14,Grenada,72.99136062742663,FedEx
25,2021-11-05 03:52:06,13,7,Hungary,85.70170209634149,UPS
26,2023-08-30 18:39:59,8,11,United States of America,36.506023892076634,UPS
27,2023-11-07 11:10:10,8,8,Zimbabwe,17.9024420702341,DHL
28,2023-02-14 16:43:29,8,4,El Salvador,35.36624012958858,UPS
29,2023-06-06 04:48:08,10,10,Slovakia (Slovak Republic),82.54816467457485,UPS
30,2021-02-18 01:19:56,6,5,Qatar,15.900793445989613,UPS
31,2022-03-05 04:47:42,9,11,Germany,46.32683038096041,DHL
32,2023-08-01 09:25:33,6,11,Norfolk Island,80.64091603390966,DHL
33,2021-03-20 08:43:14,14,16,El Salvador,67.3948848266526,Local Courier
34,2022-07-27 02:23:34,12,9,Indonesia,33.80646474886602,FedEx
35,2022-06-18 15:11:28,6,5,Korea,16.615766378908134,DHL
36,2023-07-19 16:15:43,14,10,Mexico,59.33059374561727,FedEx
37,2023-05-29 03:46:43,9,13,Cocos (Keeling) Islands,88.92862783204231,DHL
38,2023-10-14 15:42:50,14,5,Poland,92.63355276078133,FedEx
39,2021-11-25 07:41:33,8,3,Sao Tome and Principe,66.46885972335211,DHL
40,2023-09-15 12:40:58,7,14,Ghana,86.32393299918948,FedEx
41,2021-04-10 11:33:04,11,13,Bulgaria,95.5456637615234,DHL
42,2021-02-28 03:54:23,13,7,South Africa,52.829570090106635,FedEx
43,2021-02-22 18:18:10,9,3,Turkmenistan,12.797621734395776,DHL
44,2022-04-24 18:51:58,6,10,Slovenia,88.28455907571839,UPS
45,2023-03-03 06:16:27,10,19,Palestinian Territory,71.76920805113632,DHL
46,2021-05-05 22:59:43,6,3,Gabon,99.14534756584501,UPS
47,2023-12-04 18:47:08,10,4,Guatemala,92.53996231568183,FedEx
48,2023-03-21 09:10:24,10,11,Falkland Islands (Malvinas),74.10900277322335,DHL
49,2021-05-22 17:07:29,6,8,Portugal,20.267984036764368,FedEx
50,2022-02-11 20:34:34,3,15,Saint Barthelemy,77.2385903747144,DHL
51,2021-05-19 15:38:34,14,3,Slovenia,46.22399204376352,DHL
52,2023-04-13 16:18:54,9,11,Djibouti,99.22998763179339,DHL
53,2023-12-27 20:32:29,14,18,Finland,37.459717186972554,UPS
54,2022-10-17 19:07:32,4,19,Russian Federation,68.95489253845685,Local Courier
55,2021-10-16 22:16:48,11,8,Montenegro,94.97374781234655,FedEx
56,2021-05-18 20:27:54,4,4,Malawi,58.308792570157316,DHL
57,2022-01-22 07:10:30,7,14,Bulgaria,52.97083169289862,DHL
58,2022-05-05 15:32:04,9,11,Tuvalu,95.9748021351186,DHL
59,2021-05-09 08:11:45,11,13,Turkey,61.40663924147218,FedEx
60,2021-03-09 03:09:51,14,5,Jersey,26.907485944196882,FedEx
61,2022-10-31 20:01:18,14,16,Russian Federation,44.5451503871558,UPS
62,2023-04-28 06:14:38,13,4,Norfolk Island,74.26967954052769,DHL
63,2021-07-30 13:05:27,7,6,Lao People's Democratic Republic,40.313618132772305,DHL
64,2021-08-08 21:35:09,3,8,Turks and Caicos Islands,82.31791715399726,DHL
65,2022-09-25 11:36:44,11,15,Lesotho,46.29196451317457,UPS
66,2021-03-30 23:30:17,10,10,Martinique,77.38590337460711,Local Courier
67,2022-07-31 02:28:21,6,7,Jamaica,43.84529771184672,FedEx
68,2023-10-15 16:58:42,4,13,Hong Kong,75.5089155071602,UPS
69,2023-09-29 19:55:49,10,18,Zambia,82.47198332501496,FedEx
70,2021-09-23 00:45:28,13,7,Turks and Caicos Islands,94.16368840041484,DHL
71,2021-10-25 23:43:00,7,11,Macedonia,58.683536726134335,DHL
72,2022-11-22 07:10:59,3,5,United States Virgin Islands,92.63473200070109,UPS
73,2023-09-06 17:29:13,4,16,Egypt,52.07695457396171,DHL
74,2021-04-23 22:22:04,4,17,Malta,68.18508858834994,FedEx
75,2023-07-04 23:36:37,9,17,China,92.43949944052281,DHL
76,2022-01-19 10:12:50,12,6,Puerto Rico,30.095111818943426,FedEx
77,2022-12-07 08:05:33,14,19,United States Minor Outlying Islands,38.99707130498979,FedEx
78,2021-08-10 05:54:12,6,10,Norfolk Island,36.40561289548978,DHL
79,2023-02-11 21:14:54,9,13,Congo,16.149772941114268,FedEx
80,2021-08-01 20:25:04,7,6,El Salvador,69.3269544098061,FedEx
81,2021-06-22 08:14:12,10,4,Sierra Leone,77.68292930390224,DHL
82,2023-01-07 19:01:56,5,18,Belarus,50.21866960766773,Local Courier
83,2023-08-26 17:41:32,7,17,French Guiana,97.45804745153913,UPS
84,2021-04-13 18:31:03,10,8,Poland,27.1050430563651,DHL
85,2021-12-27 20:52:50,13,18,Malta,72.03330940685069,UPS
86,2022-04-01 16:16:46,7,11,United States Virgin Islands,11.917468248088172,FedEx
87,2023-01-06 11:36:25,11,11,Serbia,28.99755031989179,FedEx
88,2023-01-13 10:09:26,5,18,Benin,34.120018743980225,FedEx
89,2021-08-22 19:03:19,10,18,Bolivia,55.92389178769717,DHL
90,2021-12-19 23:33:24,4,12,Spain,47.8518178631896,FedEx
91,2022-08-14 12:01:02,12,3,Guinea,81.3642838366827,DHL
92,2022-07-29 23:04:06,5,5,Niue,47.88179156313328,Local Courier
93,2022-03-23 17:24:33,6,9,Turks and Caicos Islands,93.36899846569592,UPS
94,2023-10-01 22:00:36,7,13,Kuwait,74.51897873343734,UPS
95,2022-10-24 20:51:03,7,14,British Indian Ocean Territory (Chagos Archipelago),58.54555903597411,FedEx
96,2022-09-06 09:18:32,14,8,Micronesia,65.79399498414769,DHL
97,2022-10-29 12:43:38,11,10,Wallis and Futuna,90.07702919910365,UPS
98,2021-10-08 18:00:13,10,3,San Marino,43.68914799804477,UPS
99,2021-11-24 21:21:42,3,12,Isle of Man,73.83679173393651,UPS
100,2022-08-17 09:01:52,10,7,Hong Kong,47.04655976333161,FedEx
101,2021-04-17 02:42:13,11,6,Georgia,57.63589252843664,FedEx
102,2023-05-14 22:58:08,6,7,Chad,23.880967572626652,UPS
103,2021-05-26 03:58:30,10,7,Saint Helena,48.512572349438564,DHL
104,2023-07-26 02:57:37,8,17,Korea,77.89771290280554,DHL
105,2023-07-13 15:03:17,7,4,Mayotte,31.20370171907051,Local Courier
106,2023-08-01 14:19:26,10,16,Lesotho,40.2641537300745,FedEx
107,2022-11-13 13:55:25,5,15,Iran,96.43990670955175,Local Courier
108,2023-08-01 00:30:44,3,10,Reunion,38.46694681852494,DHL
109,2022-05-07 05:15:06,12,3,Bosnia and Herzegovina,69.17176196911322,FedEx
110,2023-10-22 16:33:14,3,11,Cocos (Keeling) Islands,15.711296824838792,UPS
111,2021-09-20 16:54:49,8,18,Mexico,70.90212741370257,Local Courier
112,2022-07-23 11:11:36,5,3,Italy,31.028876904360985,DHL
113,2022-06-24 03:56:00,12,3,Canada,29.040206046214994,UPS
114,2022-05-06 09:48:53,10,12,Denmark,90.31182543623576,FedEx
115,2021-12-25 10:00:48,7,12,Aruba,29.6182292593464,FedEx
116,2022-07-01 19:17:24,13,9,Saint Barthelemy,72.6701965211141,DHL
117,2022-12-04 08:56:25,9,16,Kazakhstan,25.227814379505418,FedEx
118,2022-03-20 18:09:33,8,19,France,33.80489205620127,DHL
119,2022-05-25 21:52:40,8,5,Morocco,32.34072284689391,FedEx
120,2022-08-25 08:32:56,8,13,Svalbard & Jan Mayen Islands,57.75648390824038,UPS
121,2023-01-19 20:08:12,5,4,Zimbabwe,33.601392256644345,DHL
122,2022-04-28 22:11:13,7,16,Liberia,58.121452911830225,DHL
123,2022-02-12 05:44:21,5,10,Guernsey,88.45463205031362,DHL
124,2021-04-06 03:11:54,10,6,United States Minor Outlying Islands,44.08753301685754,DHL
125,2021-10-08 01:23:00,4,18,Rwanda,49.77730736148232,DHL
126,2021-04-29 21:53:40,14,6,Estonia,24.89703289678068,DHL
127,2021-09-13 18:13:56,3,14,Guinea-Bissau,17.756440661994436,DHL
128,2023-07-15 22:48:37,6,12,Mauritius,99.5355617833745,FedEx
129,2022-05-20 14:12:57,6,11,Solomon Islands,37.63187243782736,FedEx
130,2023-12-21 08:16:19,12,11,Martinique,66.24921923845227,DHL
131,2023-02-16 22:11:24,6,3,Grenada,97.38144787408694,DHL
132,2023-08-29 00:55:06,13,12,Nepal,90.1618619544704,DHL
133,2023-04-21 05:39:24,9,8,Chile,88.61678767166039,FedEx
134,2022-03-10 00:38:32,3,19,Aruba,11.66712094836845,FedEx
135,2023-12-29 23:53:22,8,8,Lao People's Democratic Republic,92.3605076931623,FedEx
136,2023-02-19 04:46:11,13,9,Belarus,30.913995711952435,DHL
137,2022-02-12 18:42:14,9,8,Lebanon,93.98868089007532,DHL
138,2022-09-30 20:26:08,5,8,United States of America,98.58100076238594,DHL
139,2023-07-13 01:29:10,9,19,Sao Tome and Principe,49.825987812901836,FedEx
140,2022-10-15 13:44:17,3,9,Sweden,39.79640879527915,FedEx
141,2023-08-22 19:34:14,14,19,Saint Martin,20.86043189212061,FedEx
142,2021-07-23 20:42:13,3,16,Slovenia,23.17564842569041,DHL
143,2023-03-14 11:13:21,5,11,Wallis and Futuna,70.26597574289258,DHL
144,2022-11-10 12:26:13,9,13,Algeria,92.3874925339246,UPS
145,2022-10-17 09:54:30,4,12,Equatorial Guinea,90.63024341237346,UPS
146,2021-05-20 21:26:59,6,11,United States Minor Outlying Islands,68.68963592645011,UPS
147,2021-12-02 02:00:46,4,15,Kyrgyz Republic,64.86966604520752,FedEx
148,2023-04-27 11:28:55,7,3,Barbados,65.67068356353116,DHL
149,2023-01-06 03:01:37,10,6,Hungary,33.93050066529766,UPS
150,2023-04-18 12:45:38,6,9,Austria,10.76991181303464,FedEx
151,2021-06-26 11:56:54,7,5,Philippines,59.105106194896294,FedEx
152,2021-09-19 22:56:41,5,12,Congo,42.99894291761478,FedEx
153,2023-07-15 06:48:40,4,17,Myanmar,68.478749755591,DHL
154,2023-05-20 05:52:33,9,14,Cuba,97.4751920382701,UPS
155,2021-06-14 13:02:15,13,17,Palestinian Territory,39.897474376915646,DHL
156,2023-03-11 11:35:19,3,5,Puerto Rico,45.78238437509622,UPS
157,2021-04-08 00:55:33,4,8,Belarus,61.360741273822384,Local Courier
158,2022-08-29 03:01:04,4,5,Brunei Darussalam,71.84292366892433,DHL
159,2023-06-22 18:11:33,14,12,Madagascar,71.75088089594973,Local Courier
160,2023-09-04 18:06:46,9,9,Austria,13.34009073379194,UPS
161,2022-09-03 13:17:13,11,17,Uganda,53.06664303678396,FedEx
162,2023-06-18 00:25:02,9,4,United States Virgin Islands,72.54097567942925,UPS
163,2022-07-26 23:25:39,4,9,Uruguay,36.62953729503404,UPS
164,2023-08-06 08:01:11,3,13,Saint Kitts and Nevis,37.875474718925716,FedEx
165,2023-01-31 04:15:55,12,18,Togo,49.693040474088725,DHL
166,2021-05-11 17:53:42,14,19,Antarctica (the territory South of 60 deg S),24.7644710808974,DHL
167,2023-09-30 14:05:47,9,4,Vietnam,30.267457428552007,FedEx
168,2023-08-08 17:07:31,8,18,South Georgia and the South Sandwich Islands,86.08265336818313,DHL
